sex,age_days,l,m,s
1,146,1.00000,65.52080,0.03214
1,147,1.00000,65.58340,0.03212
1,148,1.00000,65.64560,0.03210
1,149,1.00000,65.70750,0.03209
1,150,1.00000,65.76900,0.03207
1,151,1.00000,65.83030,0.03206
1,152,1.00000,65.89120,0.03204
1,153,1.00000,65.95180,0.03203
1,154,1.00000,66.01210,0.03201
1,155,1.00000,66.07210,0.03200
1,156,1.00000,66.13170,0.03198
1,157,1.00000,66.19110,0.03197
1,158,1.00000,66.25020,0.03196
1,159,1.00000,66.30890,0.03194
1,160,1.00000,66.36740,0.03193
1,161,1.00000,66.42560,0.03191
1,162,1.00000,66.48350,0.03190
1,163,1.00000,66.54120,0.03189
1,164,1.00000,66.59850,0.03187
1,165,1.00000,66.65560,0.03186
1,166,1.00000,66.71250,0.03185
1,167,1.00000,66.76910,0.03183
1,168,1.00000,66.82540,0.03182
1,169,1.00000,66.88150,0.03181
1,170,1.00000,66.93730,0.03180
1,171,1.00000,66.99300,0.03179
1,172,1.00000,67.04830,0.03177
1,173,1.00000,67.10350,0.03176
1,174,1.00000,67.15840,0.03175
1,175,1.00000,67.21320,0.03174
1,176,1.00000,67.26770,0.03173
1,177,1.00000,67.32190,0.03171
1,178,1.00000,67.37600,0.03170
1,179,1.00000,67.42990,0.03169
1,180,1.00000,67.48360,0.03168
1,181,1.00000,67.53710,0.03167
1,182,1.00000,67.59040,0.03166
1,183,1.00000,67.64350,0.03165
1,184,1.00000,67.69640,0.03164
1,185,1.00000,67.74910,0.03163
1,186,1.00000,67.80170,0.03162
1,187,1.00000,67.85410,0.03161
1,188,1.00000,67.90620,0.03160
1,189,1.00000,67.95830,0.03159
1,190,1.00000,68.01010,0.03158
1,191,1.00000,68.06180,0.03157
1,192,1.00000,68.11330,0.03156
1,193,1.00000,68.16470,0.03155
1,194,1.00000,68.21580,0.03154
1,195,1.00000,68.26690,0.03153
1,196,1.00000,68.31770,0.03152
1,197,1.00000,68.36850,0.03152
1,198,1.00000,68.41900,0.03151
1,199,1.00000,68.46950,0.03150
1,200,1.00000,68.51980,0.03149
1,201,1.00000,68.56990,0.03148
1,202,1.00000,68.61990,0.03147
1,203,1.00000,68.66980,0.03147
1,204,1.00000,68.71950,0.03146
1,205,1.00000,68.76910,0.03145
1,206,1.00000,68.81860,0.03144
1,207,1.00000,68.86790,0.03144
1,208,1.00000,68.91710,0.03143
1,209,1.00000,68.96620,0.03142
1,210,1.00000,69.01520,0.03141
1,211,1.00000,69.06410,0.03141
1,212,1.00000,69.11280,0.03140
1,213,1.00000,69.16150,0.03139
1,214,1.00000,69.21000,0.03139
1,215,1.00000,69.25840,0.03138
1,216,1.00000,69.30670,0.03137
1,217,1.00000,69.35490,0.03137
1,218,1.00000,69.40310,0.03136
1,219,1.00000,69.45110,0.03136
1,220,1.00000,69.49900,0.03135
1,221,1.00000,69.54680,0.03134
1,222,1.00000,69.59450,0.03134
1,223,1.00000,69.64210,0.03133
1,224,1.00000,69.68960,0.03133
1,225,1.00000,69.73700,0.03132
1,226,1.00000,69.78440,0.03132
1,227,1.00000,69.83160,0.03131
1,228,1.00000,69.87870,0.03131
1,229,1.00000,69.92580,0.03130
1,230,1.00000,69.97280,0.03130
1,231,1.00000,70.01970,0.03129
1,232,1.00000,70.06650,0.03129
1,233,1.00000,70.11320,0.03128
1,234,1.00000,70.15990,0.03128
1,235,1.00000,70.20640,0.03127
1,236,1.00000,70.25290,0.03127
1,237,1.00000,70.29940,0.03126
1,238,1.00000,70.34570,0.03126
1,239,1.00000,70.39200,0.03126
1,240,1.00000,70.43820,0.03125
1,241,1.00000,70.48430,0.03125
1,242,1.00000,70.53040,0.03125
1,243,1.00000,70.57640,0.03124
1,244,1.00000,70.62240,0.03124
1,245,1.00000,70.66830,0.03123
1,246,1.00000,70.71410,0.03123
1,247,1.00000,70.75980,0.03123
1,248,1.00000,70.80550,0.03122
1,249,1.00000,70.85110,0.03122
1,250,1.00000,70.89670,0.03122
1,251,1.00000,70.94220,0.03122
1,252,1.00000,70.98760,0.03121
1,253,1.00000,71.03300,0.03121
1,254,1.00000,71.07830,0.03121
1,255,1.00000,71.12350,0.03121
1,256,1.00000,71.16870,0.03120
1,257,1.00000,71.21380,0.03120
1,258,1.00000,71.25890,0.03120
1,259,1.00000,71.30390,0.03120
1,260,1.00000,71.34880,0.03119
1,261,1.00000,71.39370,0.03119
1,262,1.00000,71.43850,0.03119
1,263,1.00000,71.48320,0.03119
1,264,1.00000,71.52790,0.03119
1,265,1.00000,71.57250,0.03118
1,266,1.00000,71.61710,0.03118
1,267,1.00000,71.66160,0.03118
1,268,1.00000,71.70600,0.03118
1,269,1.00000,71.75040,0.03118
1,270,1.00000,71.79470,0.03118
1,271,1.00000,71.83900,0.03118
1,272,1.00000,71.88320,0.03118
1,273,1.00000,71.92730,0.03117
1,274,1.00000,71.97140,0.03117
1,275,1.00000,72.01540,0.03117
1,276,1.00000,72.05940,0.03117
1,277,1.00000,72.10330,0.03117
1,278,1.00000,72.14720,0.03117
1,279,1.00000,72.19090,0.03117
1,280,1.00000,72.23470,0.03117
1,281,1.00000,72.27830,0.03117
1,282,1.00000,72.32190,0.03117
1,283,1.00000,72.36550,0.03117
1,284,1.00000,72.40890,0.03117
1,285,1.00000,72.45230,0.03117
1,286,1.00000,72.49570,0.03117
1,287,1.00000,72.53900,0.03117
1,288,1.00000,72.58220,0.03117
1,289,1.00000,72.62530,0.03117
1,290,1.00000,72.66840,0.03117
1,291,1.00000,72.71150,0.03117
1,292,1.00000,72.75440,0.03117
1,293,1.00000,72.79740,0.03117
1,294,1.00000,72.84020,0.03117
1,295,1.00000,72.88300,0.03117
1,296,1.00000,72.92570,0.03117
1,297,1.00000,72.96840,0.03117
1,298,1.00000,73.01100,0.03117
1,299,1.00000,73.05350,0.03118
1,300,1.00000,73.09600,0.03118
1,301,1.00000,73.13840,0.03118
1,302,1.00000,73.18080,0.03118
1,303,1.00000,73.22310,0.03118
1,304,1.00000,73.26530,0.03118
1,305,1.00000,73.30750,0.03118
1,306,1.00000,73.34970,0.03118
1,307,1.00000,73.39170,0.03119
1,308,1.00000,73.43370,0.03119
1,309,1.00000,73.47570,0.03119
1,310,1.00000,73.51760,0.03119
1,311,1.00000,73.55940,0.03119
1,312,1.00000,73.60120,0.03119
1,313,1.00000,73.64290,0.03120
1,314,1.00000,73.68450,0.03120
1,315,1.00000,73.72610,0.03120
1,316,1.00000,73.76770,0.03120
1,317,1.00000,73.80910,0.03120
1,318,1.00000,73.85060,0.03121
1,319,1.00000,73.89190,0.03121
1,320,1.00000,73.93330,0.03121
1,321,1.00000,73.97450,0.03121
1,322,1.00000,74.01570,0.03122
1,323,1.00000,74.05690,0.03122
1,324,1.00000,74.09790,0.03122
1,325,1.00000,74.13900,0.03122
1,326,1.00000,74.18000,0.03123
1,327,1.00000,74.22090,0.03123
