sex,height_cm,l,m,s
1,77.10000,-0.35210,10.04590,0.08318
1,77.20000,-0.35210,10.06430,0.08318
1,77.30000,-0.35210,10.08270,0.08318
1,77.40000,-0.35210,10.10110,0.08318
1,77.50000,-0.35210,10.11940,0.08318
1,77.60000,-0.35210,10.13770,0.08318
1,77.70000,-0.35210,10.15590,0.08318
1,77.80000,-0.35210,10.17410,0.08318
1,77.90000,-0.35210,10.19230,0.08317
1,78.00000,-0.35210,10.21050,0.08317
1,78.10000,-0.35210,10.22860,0.08317
1,78.20000,-0.35210,10.24680,0.08316
1,78.30000,-0.35210,10.26490,0.08316
1,78.40000,-0.35210,10.28310,0.08315
1,78.50000,-0.35210,10.30120,0.08315
1,78.60000,-0.35210,10.31940,0.08314
1,78.70000,-0.35210,10.33760,0.08313
1,78.80000,-0.35210,10.35580,0.08313
1,78.90000,-0.35210,10.37410,0.08312
1,79.00000,-0.35210,10.39230,0.08311
1,79.10000,-0.35210,10.41070,0.08310
1,79.20000,-0.35210,10.42910,0.08309
1,79.30000,-0.35210,10.44750,0.08308
1,79.40000,-0.35210,10.46600,0.08307
1,79.50000,-0.35210,10.48450,0.08305
1,79.60000,-0.35210,10.50310,0.08304
1,79.70000,-0.35210,10.52170,0.08303
1,79.80000,-0.35210,10.54050,0.08301
1,79.90000,-0.35210,10.55920,0.08300
1,80.00000,-0.35210,10.57810,0.08298
1,80.10000,-0.35210,10.59700,0.08297
1,80.20000,-0.35210,10.61610,0.08295
1,80.30000,-0.35210,10.63520,0.08293
1,80.40000,-0.35210,10.65440,0.08291
1,80.50000,-0.35210,10.67370,0.08290
1,80.60000,-0.35210,10.69310,0.08288
1,80.70000,-0.35210,10.71260,0.08286
1,80.80000,-0.35210,10.73220,0.08284
1,80.90000,-0.35210,10.75200,0.08282
1,81.00000,-0.35210,10.77180,0.08279
1,81.10000,-0.35210,10.79180,0.08277
1,81.20000,-0.35210,10.81190,0.08275
1,81.30000,-0.35210,10.83210,0.08273
1,81.40000,-0.35210,10.85240,0.08270
1,81.50000,-0.35210,10.87280,0.08268
1,81.60000,-0.35210,10.89340,0.08265
1,81.70000,-0.35210,10.91420,0.08263
1,81.80000,-0.35210,10.93500,0.08260
1,81.90000,-0.35210,10.95600,0.08258
1,82.00000,-0.35210,10.97720,0.08255
1,82.10000,-0.35210,10.99850,0.08252
1,82.20000,-0.35210,11.01990,0.08249
1,82.30000,-0.35210,11.04150,0.08246
1,82.40000,-0.35210,11.06320,0.08244
1,82.50000,-0.35210,11.08510,0.08241
1,82.60000,-0.35210,11.10710,0.08238
1,82.70000,-0.35210,11.12930,0.08235
1,82.80000,-0.35210,11.15160,0.08231
1,82.90000,-0.35210,11.17400,0.08228
1,83.00000,-0.35210,11.19660,0.08225
1,83.10000,-0.35210,11.21930,0.08222
1,83.20000,-0.35210,11.24220,0.08219
1,83.30000,-0.35210,11.26510,0.08215
1,83.40000,-0.35210,11.28820,0.08212
1,83.50000,-0.35210,11.31140,0.08209
1,83.60000,-0.35210,11.33470,0.08205
1,83.70000,-0.35210,11.35810,0.08202
1,83.80000,-0.35210,11.38170,0.08198
1,83.90000,-0.35210,11.40530,0.08195
1,84.00000,-0.35210,11.42900,0.08191
1,84.10000,-0.35210,11.45290,0.08188
1,84.20000,-0.35210,11.47680,0.08184
1,84.30000,-0.35210,11.50070,0.08181
1,84.40000,-0.35210,11.52480,0.08177
1,84.50000,-0.35210,11.54900,0.08174
1,84.60000,-0.35210,11.57320,0.08170
1,84.70000,-0.35210,11.59750,0.08166
1,84.80000,-0.35210,11.62180,0.08163
1,84.90000,-0.35210,11.64620,0.08159
1,85.00000,-0.35210,11.67070,0.08156
1,85.10000,-0.35210,11.69520,0.08152
1,85.20000,-0.35210,11.71980,0.08148
1,85.30000,-0.35210,11.74440,0.08145
1,85.40000,-0.35210,11.76900,0.08141
1,85.50000,-0.35210,11.79370,0.08138
1,85.60000,-0.35210,11.81840,0.08134
1,85.70000,-0.35210,11.84310,0.08131
1,85.80000,-0.35210,11.86780,0.08128
1,85.90000,-0.35210,11.89260,0.08124
1,86.00000,-0.35210,11.91730,0.08121
