sex,age_days,l,m,s
1,167,0.13260,7.72550,0.11009
1,168,0.13220,7.73940,0.11005
1,169,0.13170,7.75320,0.11002
1,170,0.13130,7.76690,0.10998
1,171,0.13080,7.78050,0.10994
1,172,0.13040,7.79410,0.10991
1,173,0.12990,7.80760,0.10987
1,174,0.12950,7.82100,0.10984
1,175,0.12900,7.83440,0.10980
1,176,0.12860,7.84770,0.10977
1,177,0.12820,7.86090,0.10974
1,178,0.12770,7.87410,0.10971
1,179,0.12730,7.88710,0.10968
1,180,0.12690,7.90020,0.10965
1,181,0.12640,7.91310,0.10962
1,182,0.12600,7.92600,0.10959
1,183,0.12560,7.93890,0.10957
1,184,0.12510,7.95160,0.10954
1,185,0.12470,7.96430,0.10951
1,186,0.12430,7.97700,0.10949
1,187,0.12390,7.98950,0.10946
1,188,0.12350,8.00210,0.10944
1,189,0.12300,8.01450,0.10942
1,190,0.12260,8.02690,0.10940
1,191,0.12220,8.03920,0.10937
1,192,0.12180,8.05150,0.10935
1,193,0.12140,8.06370,0.10933
1,194,0.12100,8.07590,0.10931
1,195,0.12060,8.08790,0.10929
1,196,0.12010,8.10000,0.10927
1,197,0.11970,8.11200,0.10925
1,198,0.11930,8.12390,0.10924
1,199,0.11890,8.13570,0.10922
1,200,0.11850,8.14750,0.10920
1,201,0.11810,8.15930,0.10919
1,202,0.11770,8.17100,0.10917
1,203,0.11730,8.18260,0.10915
1,204,0.11690,8.19420,0.10914
1,205,0.11650,8.20580,0.10913
1,206,0.11610,8.21730,0.10911
1,207,0.11570,8.22870,0.10910
1,208,0.11530,8.24010,0.10908
1,209,0.11490,8.25140,0.10907
1,210,0.11450,8.26270,0.10906
1,211,0.11420,8.27390,0.10905
1,212,0.11380,8.28510,0.10903
1,213,0.11340,8.29630,0.10902
1,214,0.11300,8.30740,0.10901
1,215,0.11260,8.31840,0.10900
1,216,0.11220,8.32940,0.10899
1,217,0.11180,8.34040,0.10898
1,218,0.11150,8.35130,0.10897
1,219,0.11110,8.36210,0.10896
1,220,0.11070,8.37290,0.10895
1,221,0.11030,8.38370,0.10894
1,222,0.10990,8.39440,0.10894
1,223,0.10960,8.40510,0.10893
1,224,0.10920,8.41570,0.10892
1,225,0.10880,8.42630,0.10891
1,226,0.10840,8.43690,0.10891
1,227,0.10810,8.44740,0.10890
1,228,0.10770,8.45780,0.10889
1,229,0.10730,8.46830,0.10889
1,230,0.10700,8.47870,0.10888
1,231,0.10660,8.48900,0.10887
1,232,0.10620,8.49930,0.10887
1,233,0.10590,8.50960,0.10886
1,234,0.10550,8.51980,0.10886
1,235,0.10510,8.53000,0.10885
1,236,0.10480,8.54010,0.10885
1,237,0.10440,8.55020,0.10884
1,238,0.10400,8.56030,0.10884
1,239,0.10370,8.57040,0.10884
1,240,0.10330,8.58040,0.10883
1,241,0.10300,8.59030,0.10883
1,242,0.10260,8.60030,0.10882
1,243,0.10230,8.61020,0.10882
1,244,0.10190,8.62000,0.10882
1,245,0.10150,8.62990,0.10882
1,246,0.10120,8.63970,0.10881
1,247,0.10080,8.64940,0.10881
1,248,0.10050,8.65920,0.10881
1,249,0.10010,8.66890,0.10881
1,250,0.09980,8.67850,0.10881
1,251,0.09940,8.68820,0.10880
1,252,0.09910,8.69780,0.10880
1,253,0.09870,8.70730,0.10880
1,254,0.09840,8.71690,0.10880
1,255,0.09810,8.72640,0.10880
1,256,0.09770,8.73590,0.10880
1,257,0.09740,8.74530,0.10880
1,258,0.09700,8.75480,0.10880
1,259,0.09670,8.76420,0.10880
1,260,0.09630,8.77350,0.10880
1,261,0.09600,8.78290,0.10880
1,262,0.09570,8.79220,0.10880
1,263,0.09530,8.80150,0.10880
1,264,0.09500,8.81070,0.10880
1,265,0.09470,8.82000,0.10880
1,266,0.09430,8.82920,0.10880
1,267,0.09400,8.83840,0.10880
