sex,length_cm,l,m,s
1,57.10000,-0.35210,5.15510,0.08475
1,57.20000,-0.35210,5.18440,0.08470
1,57.30000,-0.35210,5.21370,0.08465
1,57.40000,-0.35210,5.24290,0.08460
1,57.50000,-0.35210,5.27210,0.08455
1,57.60000,-0.35210,5.30140,0.08449
1,57.70000,-0.35210,5.33060,0.08444
1,57.80000,-0.35210,5.35980,0.08439
1,57.90000,-0.35210,5.38890,0.08434
1,58.00000,-0.35210,5.41800,0.08430
1,58.10000,-0.35210,5.44710,0.08425
1,58.20000,-0.35210,5.47620,0.08420
1,58.30000,-0.35210,5.50530,0.08415
1,58.40000,-0.35210,5.53430,0.08410
1,58.50000,-0.35210,5.56320,0.08406
1,58.60000,-0.35210,5.59220,0.08401
1,58.70000,-0.35210,5.62100,0.08397
1,58.80000,-0.35210,5.64990,0.08392
1,58.90000,-0.35210,5.67870,0.08388
1,59.00000,-0.35210,5.70740,0.08383
1,59.10000,-0.35210,5.73610,0.08379
1,59.20000,-0.35210,5.76470,0.08375
1,59.30000,-0.35210,5.79330,0.08370
1,59.40000,-0.35210,5.82170,0.08366
1,59.50000,-0.35210,5.85010,0.08362
1,59.60000,-0.35210,5.87840,0.08358
1,59.70000,-0.35210,5.90670,0.08354
1,59.80000,-0.35210,5.93480,0.08350
1,59.90000,-0.35210,5.96280,0.08346
1,60.00000,-0.35210,5.99070,0.08342
1,60.10000,-0.35210,6.01850,0.08339
1,60.20000,-0.35210,6.04610,0.08335
1,60.30000,-0.35210,6.07370,0.08331
1,60.40000,-0.35210,6.10110,0.08328
1,60.50000,-0.35210,6.12840,0.08324
1,60.60000,-0.35210,6.15560,0.08321
1,60.70000,-0.35210,6.18270,0.08317
1,60.80000,-0.35210,6.20960,0.08314
1,60.90000,-0.35210,6.23650,0.08311
1,61.00000,-0.35210,6.26320,0.08308
1,61.10000,-0.35210,6.28990,0.08304
1,61.20000,-0.35210,6.31640,0.08301
1,61.30000,-0.35210,6.34280,0.08298
1,61.40000,-0.35210,6.36920,0.08295
1,61.50000,-0.35210,6.39540,0.08292
1,61.60000,-0.35210,6.42150,0.08290
1,61.70000,-0.35210,6.44750,0.08287
1,61.80000,-0.35210,6.47350,0.08284
1,61.90000,-0.35210,6.49930,0.08281
1,62.00000,-0.35210,6.52510,0.08279
1,62.10000,-0.35210,6.55080,0.08276
1,62.20000,-0.35210,6.57640,0.08273
1,62.30000,-0.35210,6.60190,0.08271
1,62.40000,-0.35210,6.62730,0.08268
1,62.50000,-0.35210,6.65270,0.08266
1,62.60000,-0.35210,6.67800,0.08264
1,62.70000,-0.35210,6.70330,0.08261
1,62.80000,-0.35210,6.72840,0.08259
1,62.90000,-0.35210,6.75350,0.08257
1,63.00000,-0.35210,6.77860,0.08255
1,63.10000,-0.35210,6.80350,0.08253
1,63.20000,-0.35210,6.82850,0.08251
1,63.30000,-0.35210,6.85330,0.08249
1,63.40000,-0.35210,6.87810,0.08247
1,63.50000,-0.35210,6.90280,0.08245
1,63.60000,-0.35210,6.92750,0.08243
1,63.70000,-0.35210,6.95210,0.08241
1,63.80000,-0.35210,6.97660,0.08240
1,63.90000,-0.35210,7.00110,0.08238
1,64.00000,-0.35210,7.02550,0.08236
1,64.10000,-0.35210,7.04990,0.08235
1,64.20000,-0.35210,7.07420,0.08233
1,64.30000,-0.35210,7.09840,0.08232
1,64.40000,-0.35210,7.12260,0.08230
1,64.50000,-0.35210,7.14670,0.08229
1,64.60000,-0.35210,7.17080,0.08228
1,64.70000,-0.35210,7.19480,0.08227
1,64.80000,-0.35210,7.21880,0.08225
1,64.90000,-0.35210,7.24270,0.08224
1,65.00000,-0.35210,7.26660,0.08223
1,65.10000,-0.35210,7.29050,0.08222
1,65.20000,-0.35210,7.31430,0.08221
1,65.30000,-0.35210,7.33800,0.08220
1,65.40000,-0.35210,7.36170,0.08219
1,65.50000,-0.35210,7.38540,0.08218
1,65.60000,-0.35210,7.40910,0.08218
1,65.70000,-0.35210,7.43270,0.08217
1,65.80000,-0.35210,7.45630,0.08216
1,65.90000,-0.35210,7.47990,0.08216
1,66.00000,-0.35210,7.50340,0.08215
1,66.10000,-0.35210,7.52690,0.08214
1,66.20000,-0.35210,7.55040,0.08214
1,66.30000,-0.35210,7.57380,0.08214
1,66.40000,-0.35210,7.59730,0.08213
1,66.50000,-0.35210,7.62060,0.08213
1,66.60000,-0.35210,7.64400,0.08213
1,66.70000,-0.35210,7.66730,0.08212
1,66.80000,-0.35210,7.69060,0.08212
1,66.90000,-0.35210,7.71380,0.08212
1,67.00000,-0.35210,7.73700,0.08212
1,67.10000,-0.35210,7.76020,0.08212
1,67.20000,-0.35210,7.78340,0.08212
1,67.30000,-0.35210,7.80650,0.08212
1,67.40000,-0.35210,7.82960,0.08212
1,67.50000,-0.35210,7.85260,0.08212
1,67.60000,-0.35210,7.87570,0.08212
1,67.70000,-0.35210,7.89860,0.08213
1,67.80000,-0.35210,7.92160,0.08213
1,67.90000,-0.35210,7.94450,0.08213
1,68.00000,-0.35210,7.96740,0.08214
1,68.10000,-0.35210,7.99030,0.08214
1,68.20000,-0.35210,8.01320,0.08214
1,68.30000,-0.35210,8.03600,0.08215
1,68.40000,-0.35210,8.05880,0.08215
1,68.50000,-0.35210,8.08160,0.08216
1,68.60000,-0.35210,8.10440,0.08217
1,68.70000,-0.35210,8.12720,0.08217
1,68.80000,-0.35210,8.15000,0.08218
1,68.90000,-0.35210,8.17270,0.08219
1,69.00000,-0.35210,8.19550,0.08219
1,69.10000,-0.35210,8.21830,0.08220
1,69.20000,-0.35210,8.24100,0.08221
1,69.30000,-0.35210,8.26380,0.08222
1,69.40000,-0.35210,8.28650,0.08223
1,69.50000,-0.35210,8.30920,0.08224
1,69.60000,-0.35210,8.33200,0.08225
1,69.70000,-0.35210,8.35470,0.08226
1,69.80000,-0.35210,8.37740,0.08227
1,69.90000,-0.35210,8.40010,0.08228
1,70.00000,-0.35210,8.42270,0.08229
1,70.10000,-0.35210,8.44540,0.08230
1,70.20000,-0.35210,8.46800,0.08231
1,70.30000,-0.35210,8.49060,0.08232
1,70.40000,-0.35210,8.51320,0.08233
1,70.50000,-0.35210,8.53580,0.08235
1,70.60000,-0.35210,8.55830,0.08236
1,70.70000,-0.35210,8.58080,0.08237
1,70.80000,-0.35210,8.60320,0.08238
1,70.90000,-0.35210,8.62570,0.08240
1,71.00000,-0.35210,8.64800,0.08241
1,71.10000,-0.35210,8.67040,0.08242
1,71.20000,-0.35210,8.69270,0.08243
1,71.30000,-0.35210,8.71500,0.08245
1,71.40000,-0.35210,8.73720,0.08246
1,71.50000,-0.35210,8.75940,0.08248
1,71.60000,-0.35210,8.78150,0.08249
1,71.70000,-0.35210,8.80360,0.08250
1,71.80000,-0.35210,8.82570,0.08252
1,71.90000,-0.35210,8.84770,0.08253
1,72.00000,-0.35210,8.86970,0.08254
1,72.10000,-0.35210,8.89160,0.08256
1,72.20000,-0.35210,8.91350,0.08257
1,72.30000,-0.35210,8.93530,0.08259
1,72.40000,-0.35210,8.95710,0.08260
1,72.50000,-0.35210,8.97880,0.08262
1,72.60000,-0.35210,9.00050,0.08263
1,72.70000,-0.35210,9.02210,0.08264
1,72.80000,-0.35210,9.04360,0.08266
1,72.90000,-0.35210,9.06510,0.08267
1,73.00000,-0.35210,9.08650,0.08269
1,73.10000,-0.35210,9.10790,0.08270
1,73.20000,-0.35210,9.12920,0.08272
1,73.30000,-0.35210,9.15040,0.08273
1,73.40000,-0.35210,9.17160,0.08274
1,73.50000,-0.35210,9.19270,0.08276
1,73.60000,-0.35210,9.21370,0.08277
1,73.70000,-0.35210,9.23470,0.08278
1,73.80000,-0.35210,9.25570,0.08280
1,73.90000,-0.35210,9.27660,0.08281
1,74.00000,-0.35210,9.29740,0.08283
1,74.10000,-0.35210,9.31820,0.08284
1,74.20000,-0.35210,9.33900,0.08285
1,74.30000,-0.35210,9.35970,0.08287
1,74.40000,-0.35210,9.38030,0.08288
1,74.50000,-0.35210,9.40100,0.08289
1,74.60000,-0.35210,9.42150,0.08290
1,74.70000,-0.35210,9.44200,0.08292
1,74.80000,-0.35210,9.46250,0.08293
1,74.90000,-0.35210,9.48290,0.08294
1,75.00000,-0.35210,9.50320,0.08295
1,75.10000,-0.35210,9.52350,0.08297
1,75.20000,-0.35210,9.54380,0.08298
1,75.30000,-0.35210,9.56390,0.08299
1,75.40000,-0.35210,9.58410,0.08300
1,75.50000,-0.35210,9.60410,0.08301
1,75.60000,-0.35210,9.62410,0.08302
1,75.70000,-0.35210,9.64400,0.08303
1,75.80000,-0.35210,9.66390,0.08305
1,75.90000,-0.35210,9.68360,0.08306
1,76.00000,-0.35210,9.70330,0.08307
1,76.10000,-0.35210,9.72300,0.08307
1,76.20000,-0.35210,9.74250,0.08308
1,76.30000,-0.35210,9.76200,0.08309
1,76.40000,-0.35210,9.78140,0.08310
1,76.50000,-0.35210,9.80070,0.08311
1,76.60000,-0.35210,9.82000,0.08312
1,76.70000,-0.35210,9.83920,0.08312
1,76.80000,-0.35210,9.85830,0.08313
1,76.90000,-0.35210,9.87730,0.08314
1,77.00000,-0.35210,9.89630,0.08314
1,77.10000,-0.35210,9.91520,0.08315
1,77.20000,-0.35210,9.93410,0.08315
1,77.30000,-0.35210,9.95280,0.08316
1,77.40000,-0.35210,9.97160,0.08316
1,77.50000,-0.35210,9.99020,0.08317
1,77.60000,-0.35210,10.00880,0.08317
1,77.70000,-0.35210,10.02740,0.08317
1,77.80000,-0.35210,10.04590,0.08318
1,77.90000,-0.35210,10.06430,0.08318
