recipe_id,department,recipe_number,recipe_name,servings,energy_kcal_per_serving,protein_g_per_serving,carbohydrates_g_per_serving,iron_mg_per_serving,vitamin_a_ug_per_serving,zinc_mg_per_serving,preparation,source_page,source_type
TUM_REC_0011,Tumbes,11,"Tortilla de caballa, ensalada de tomate y lechuga, manzana y refresco linaza con canela",4,825,33,121,6,96,2,"Ensalada de tomate y lechuga: 1. Lavar y cortar el tomate. 2. Lavar la lechuga. 3. Despepitar y cortar la aceituna. 4. Aliñar la ensalada con limón y sal yodada. | Tortilla de caballa: 1. Preparar el arroz a la jardinera. 2. Sancochar la caballa, luego desmenuzar y reservar. 3. Lavar y cortar la espinaca, cebolla, tomate y brócoli sancochado, mezclar con los huevos batidos; luego, adicionar la caballa deshilachada, sal yodada y pimienta. 4. Freír en aceite vegetal la tortilla de caballa. 5. Servir la tortilla de caballa con arroz graneado. | Refresco de linaza con canela: 1. Hervir la linaza con canela. 2. Adicionar azúcar. 3. Servir.",33-34,familiar_regional
TUM_REC_0012,Tumbes,12,"Guiso y cebiche de toyo, ensalada criolla, plátano de seda y refresco de carambola",4,860,33,126,8,72,3,"Ensalada criolla: 1. Lavar y cortar el tomate. 2. Cortar a la pluma y lavar la cebolla. 3. Adicionar aceite vegetal a las verduras. 4. Aliñar la ensalada con limón y sal yodada. | Guiso y cebiche de toyo: 1. Preparar el arroz graneado, aderezado con aceite vegetal, ajo molido y achiote. 2. Remojar el frijol zarandaja un día antes; cocinar. Reservar. 3. Para preparar el toyo guisado, cocinar la mitad del toyo en agua con culantro, ajo y sal yodada; seguidamente, freír en aceite vegetal la cebolla y tomate picado, el ají amarillo molido y el achiote; luego agregar el toyo picado, remover y cocinar. 4. Para preparar el cebiche, colocar en un recipiente la otra mitad del toyo trozado, mezclar con ají, jugo de limón, cebolla a la juliana, ajo molido, pimienta y sal yodada; dejar reposar. 5. Servir el guiso y cebiche de toyo, acompañado con frijol zarandaja, maíz cancha y arroz graneado. | Refresco de carambola: 1. Hervir la carambola, licuar y colar. 2. Adicionar azúcar. 3. Servir.",35-36,familiar_regional
TUM_REC_0013,Tumbes,13,"Locro con pescado, ensalada de col, naranja y refresco de limón",4,820,37,111,6,240,2,"Ensalada de col: 1. Lavar, pelar y cortar el pepinillo. 2. Lavar y picar la espinaca. 3. Lavar y cortar el tomate. 4. Aliñar la ensalada con limón y sal yodada. | Locro con pescado: 1. Preparar el arroz graneado. 2. Lavar el pescado y filetear; luego, sazonar con sal yodada y pimienta, enharinar y freír en aceite vegetal. 3. Freír en aceite vegetal la cebolla picada, el ajo y el ají amarillo molido, agregar el zapallo, la arveja fresca, la papa y el choclo. Una vez cocido añadir el queso. 4. Servir el locro con pescado frito y arroz graneado. | Refresco de limón: 1. Exprimir el limón. 2. Adicionar azúcar. 3. Servir.",37-38,familiar_regional
TUM_REC_0014,Tumbes,14,"Guiso de pollo con frijol, ensalada fresca, uva y refresco de piña",4,788,30,116,7,598,4,"Ensalada fresca: 1. Lavar y cortar el tomate. 2. Cortar a la pluma y lavar la cebolla. 3. Pelar, hervir y cortar la zanahoria. 4. Lavar la lechuga. 5. Aliñar la ensalada con limón y sal yodada. | Guiso de pollo con frijol: 1. Preparar el arroz graneado. 2. Remojar el frijol un día anterior a la preparación. 3. Freír en aceite vegetal la cebolla picada, el ajo y ají amarillo molido, adicionar el frijol y sal yodada; cocinar. 4. Lavar, filetear y condimentar el pollo con pimienta, comino y vinagre; reservar. 5. Freír en aceite vegetal la cebolla picada, el ajo y ají colorado molido, añadir el pollo, sofreír; hervir. 6. Servir el guiso de pollo acompañado de frijol guisado y arroz graneado. | Refresco de piña: 1. Licuar la piña y colar. 2. Adicionar azúcar. 3. Servir.",39-40,familiar_regional
TUM_REC_0015,Tumbes,15,"Bolas de plátano a la tumbesina, ensalada tricolor, granadilla y refresco de manzana",4,810,34,119,8,437,6,"Ensalada tricolor: 1. Lavar y cortar las hojas de espinaca. 2. Cortar a la pluma y lavar la cebolla. 3. Lavar, pelar y rallar la zanahoria. 4. Aliñar la ensalada con limón y sal yodada. | Bolas de plátano a la tumbesina: 1. Sancochar el plátano sin pelar; luego aplastar; rallar los otros plátanos crudos y mezclar con el cocido aplastado. Reservar. 2. Disolver el achiote en aceite vegetal, sazonar con pimienta, comino y sal yodada; agregar el plátano, amasar hasta tener una masa suave. 3. Hervir la carne con apio, zanahoria y hierbabuena; luego picar y reservar. 4. Para el relleno, en aceite vegetal dorar la cebolla y el tomate picado, el ajo molido; sazonar con comino, pimienta y sal yodada, adicionar la carne cocida, pasas, aceituna y huevo duro picado. 5. Formar la bola con la masa de plátano, colocar un poco de relleno, cerrar; luego sancochar en caldo de res. 6. Servir la bola de plátano acompañado con arroz graneado. | Refresco de manzana: 1. Hervir la manzana, licuar y colar. 2. Adicionar azúcar. 3. Enfriar y servir.",41-42,familiar_regional
TUM_REC_0016,Tumbes,16,"Escabeche de bonito, ensalada de brócoli, granadilla y refresco de canela",4,806,38,111,6,921,3,"Ensalada de brócoli: 1. Lavar y cortar el tomate. 2. Lavar la lechuga. 3. Lavar, cortar y hervir el brócoli. 4. Aliñar la ensalada con limón y sal yodada. | Escabeche de bonito: 1. Preparar el arroz graneado. 2. Lavar, sancochar, pelar y partir el camote. 3. Lavar y filetear el pescado bonito, condimentar con pimienta, ajo y sal yodada; freír en aceite vegetal; reservar. 4. Freír en aceite vegetal el ajo y el ají amarillo molido; luego, adicionar la cebolla en gajos, el ají amarillo a la juliana y zanahoria en rodajas, dejar cocinar por unos minutos; agregar el pescado bonito, laurel, sal yodada, pimienta y vinagre, mezclar y cocinar. 5. Servir el escabeche de bonito acompañado de huevo, aceituna, camote y arroz graneado. | Refresco de canela: 1. Hervir la canela. 2. Agregar azúcar. 3. Enfriar y servir.",43-44,familiar_regional
TUM_REC_0017,Tumbes,17,"Seco de res con frijol, ensalada criolla, mandarina y refresco de piña",4,776,33,116,9,179,6,"Ensalada criolla: 1. Lavar y cortar el tomate. 2. Cortar a la pluma y lavar la cebolla. 3. Lavar, cortar y hervir la rama de brócoli. 4. Lavar y picar el ají amarillo. 5. Lavar y picar la hojita de culantro. 6. Lavar la hoja de lechuga. 7. Adicionar aceite vegetal a la ensalada. 8. Aliñar la ensalada con limón y sal yodada. | Seco de res con frijol: 1. Preparar el arroz graneado. 2. Remojar el frijol un día anterior a la preparación. Cocinar. 3. Freír en aceite vegetal la cebolla picada, el ajo y el ají colorado molido; adicionar el frijol y la sal yodada; dar un hervor. 4. Limpiar y cortar la carne en filetes, condimentar con ajo, pimienta, comino, sal yodada y chicha de jora; macerar. 5. Dorar en aceite vegetal la cebolla picada, el ajo, ají colorado, ají amarillo, ají amarillo panca y culantro molido; agregar la carne macerada y sofreír; luego, incluir el líquido de maceración y el zapallo loche; hervir. 6. Servir el seco de res con frijol acompañado de arroz graneado. | Refresco de piña: 1. Licuar la piña; colar. 2. Adicionar azúcar. 3. Servir.",45-46,familiar_regional
TUM_REC_0018,Tumbes,18,"Filete de bonito con salsa a la huancaína, ensalada de lechuga, manzana y refresco de mandarina",4,833,398,104,5,228,2,"Ensalada de Lechuga: 1. Lavar, pelar y cortar el pepinillo. 2. Lavar la lechuga. 3. Lavar y picar el pimiento. 4. Aliñar la ensalada con limón y sal yodada. | Filete de bonito con salsa a la huancaína: 1. Preparar el arroz graneado con achiote. 2. Lavar, sancochar, pelar y partir la papa. 3. Lavar y filetear el pescado bonito, condimentar con pimienta, ajo molido y sal yodada; freír en aceite vegetal; reservar. 4. Para obtener la salsa huancaína, licuar el ají amarillo, el queso, la leche evaporada, la galleta de soda y el aceite vegetal. 5. Servir el filete de pescado con papa y salsa a la huancaína acompañada de huevo duro, aceituna y arroz graneado. | Refresco de mandarina: 1. Exprimir la mandarina. 2. Adicionar azúcar. 3. Servir.",47-48,familiar_regional
TUM_REC_0019,Tumbes,19,"Hígado encebollado con pallar batido, ensalada de tomate y espinaca, piña y refresco de cebada",4,812,33,120,11,2828,6,"Ensalada de tomate y espinaca: 1. Lavar y cortar el tomate. 2. Lavar y picar la hoja de espinaca. 3. Aliñar la ensalada con limón y sal yodada. | Hígado encebollado con pallar batido: 1. Preparar el arroz graneado. 2. Remojar el pallar un día anterior a la preparación. Hervir. 3. Freír en aceite vegetal la cebolla picada, el ajo y ají amarillo molido; adicionar el pallar y la sal yodada, dar un hervor. Luego, batir y echar la leche evaporada. 4. Freír en aceite vegetal el hígado fileteado, sazonar con ajo y ají colorado molido y condimentar con pimienta y comino; agregar agua. Hervir. Una vez cocido el hígado, añadir la cebolla y tomate picado en gajos, el vinagre y el sillao; saltear. 5. Servir el hígado encebollado con pallar batido y arroz graneado. | Refresco de cebada: 1. Hervir la cebada tostada. 2. Agregar azúcar. 3. Enfriar y servir.",49-50,familiar_regional
TUM_REC_0020,Tumbes,20,"Cau cau de toyo, ensalada de choclo, uva y refresco de carambola",4,779,33,117,7,374,2,"Ensalada de choclo: 1. Desgranar y hervir el choclo. 2. Lavar, hervir, pelar y cortar la zanahoria. 3. Lavar la hoja de lechuga. 4. Pelar y hervir la arveja fresca. 5. Lavar y picar el pimiento. 6. Lavar, cortar y hervir las vainitas. 7. Agregar aceite vegetal a la ensalada. 8. Aliñar la ensalada con limón y sal yodada. | Cau cau de toyo: 1. Limpiar y picar en cuadraditos medianos el tollo. 2. Preparar el aderezo del cau cau de tollo, freír en aceite vegetal la cebolla picada en cuadraditos, el ajo y ají amarillo molido; adicionar el tollo picado, sazonar con pimienta y sal yodada; añadir la papa picada en cuadraditos medianos, zanahoria picada en cuadraditos pequeños, arveja fresca y agua; cocinar. Una vez cocido el tollo, agregar culantro picado. 3. Servir el cau cau de tollo acompañado de arroz graneado. | Refresco de carambola: 1. Hervir la carambola, licuar y colar. 2. Adicionar azúcar. 3. Servir.",51-52,familiar_regional
TUM_REC_0021,Tumbes,21,"Sanguito de plátano con pescado, ensalada de tomate, plátano de seda y refresco de linaza con canela",4,805,37,114,4,504,2,"Ensalada de tomate: 1. Lavar y cortar el tomate. 2. Pelar y rallar la zanahoria. 3. Lavar, cortar y hervir la vainita. 4. Agregar aceite vegetal a la ensalada. 5. Aliñar la ensalada con limón y sal yodada. | Sanguito de plátano con pescado: 1. Preparar una porción de arroz blanco y otra con achiote. Granear. 2. Cocinar el pescado con agua y sal yodada. 3. Para preparar el sanguito de plátano, rallar el plátano y licuar; adicionar achiote, agua y maní; Hervir y luego reservar. 4. Freír en aceite vegetal la cebolla y tomate picado, el ajo y ají amarillo molido; sazonar con pimienta y sal yodada, agregar el pescado cortado en trozos, hervir; cuando la mezcla está cocida, añadir culantro picado, remover. 5. Servir el sanguito de plátano con pescado acompañado de arroz graneado. | Refresco de linaza con canela: 1. Hervir la linaza con canela. 2. Adicionar azúcar. 3. Enfriar y servir.",53-54,familiar_regional
TUM_REC_0022,Tumbes,22,"Mixtura tumbesina, ensalada de choclo y haba con queso, granadilla y refresco de limón",4,804,34,115,10,2740,4,"Ensalada de choclo y haba con queso: 1. Pelar y hervir las habas frescas. 2. Hervir y desgranar el choclo. 3. Picar el queso. 4. Picar y lavar la cebolla. 5. Lavar y picar el tomate. 6. Agregar sal yodada. | Mixtura tumbesina: 1. Preparar el arroz graneado con achiote. 2. Sancochar y picar el bofe e hígado. 3. Picar en trozos pequeños el plátano bellaco cocido. 4. Freír en aceite vegetal la cebolla y tomate picado, el ajo y ají amarillo molido, sazonar con pimienta, comino y sal yodada; adicionar el hígado y bofe, sofreír; agregar el caldo de cocción y el pimiento picado. Hervir. Una vez lista la preparación echar el culantro, perejil y hierba buena picada. 5. Servir la mixtura tumbesina acompañada de plátano y arroz graneado. | Refresco de limón: 1. Exprimir el limón. 2. Adicionar azúcar. 3. Servir.",55-56,familiar_regional
TUM_REC_0023,Tumbes,23,"Arroz con mariscos y cebiche de pescado, ensalada criolla, papaya y refresco de maíz morado",4,811,36,122,6,372,3,"Ensalada criolla: 1. Lavar y cortar el tomate. 2. Cortar a la pluma y lavar la cebolla. 3. Picar el culantro. 4. Agregar aceite vegetal a la ensalada. 5. Aliñar la ensalada con limón y sal yodada. | Arroz con mariscos y cebiche de pescado: 1. Preparar el arroz graneado con achiote, reservar. 2. Lavar y hervir la mixtura de mariscos. 3. Preparar un caldo de cabeza de pescado y choros. 4. Freír en aceite vegetal la cebolla picada, el ajo, ají colorado y ají amarillo molido; adicionar la arveja fresca, el pimiento y zanahoria picada, el caldo de cabeza; hervir; luego, echar la mixtura de mariscos, chicha de jora; cocinar por unos minutos, agregar arroz y culantro picado; mezclar. 5. Para preparar el cebiche, colocar en un recipiente el pescado trozado, mezclar con ají, jugo de limón, cebolla a la juliana, ajo molido, pimienta y sal yodada; dejar reposar. 6. Servir el arroz con mariscos, cebiche de pescado y chifle. | Refresco de maíz morado: 1. Hervir el maíz morado. 2. Adicionar azúcar y limón. 3. Enfriar y servir.",57-58,familiar_regional
TUM_REC_0024,Tumbes,24,"Majarisco tumbesino, ensalada de verduras frescas, melón y refresco de tamarindo",4,828,38,93,10,210,4,"Ensalada de verduras frescas: 1. Lavar y cortar el tomate. 2. Lavar la lechuga. 3. Aliñar la ensalada con limón y sal yodada. | Majarisco tumbesino: 1. Tostar la cancha. 2. Remojar los frijoles un día anterior a la preparación. Cocinar. 3. Lavar y cortar en trozos el plátano; freír en aceite vegetal; majar y reservar. 4. Lavar la mixtura de mariscos, reservar. 5. Freír en aceite vegetal la cebolla picada, el ajo y ají amarillo molido; sazonar con pimienta y sal yodada; agregar la mixtura de mariscos, el pimiento picado y la chicha de jora, hervir. Una vez lista la preparación, mezclar con el plátano majado y el culantro picado. 6. Servir el majarisco tumbesino acompañado de frijol zarandaja y cancha. | Refresco de tamarindo: 1. Despepitar el tamarindo. 2. Hervir la pulpa del tamarindo, licuar y colar. 3. Adicionar azúcar. 4. Enfriar y servir.",59-60,familiar_regional
TUM_REC_0025,Tumbes,25,"Causa de sangrecita, ensalada verde, uva y refresco de manzana",4,838,30,123,36,316,2,"Ensalada verde: 1. Lavar la lechuga. 2. Lavar, pelar y cortar el pepinillo. 3. Picar el culantro. 4. Aliñar la ensalada con limón y sal yodada. | Causa de sangrecita: 1. Cocinar la sangrecita; picar. 2. Hervir la papa, zanahoria y arveja fresca; reservar. 3. Prensar la papa; agregar jugo de limón, ají amarillo molido, pimienta, sal yodada y aceite vegetal; mezclar. 4. Freír en aceite vegetal la cebolla picada, el ajo y ají amarillo molido; añadir la sangrecita, hierbabuena, culantro y zanahoria picada, arveja fresca, pimienta y sal yodada, mezclar. Reservar. 5. Preparar la causa; primero coloca una capa de masa de papa, segundo una capa de palta, tercera masa de papa, cuarta capa de sangrecita y terminar una de masa de papa. 6. Acompañar la causa con huevo en rodaja, aceituna, mayonesa y perejil picado. 7. Servir la causa de sangrecita acompañada de arroz graneado. | Refresco de manzana: 1. Hervir la manzana, licuar y colar. 2. Adicionar azúcar. 3. Enfriar y servir.",61-62,familiar_regional
